id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z12ywtgqvvzsgzeyt04cch4jdz20d1fhn2s,Meagen Kasey,12 hours ago,1463298355729,"I have this phone, I love it😍😍😍😍😍",1,false,0,,,,,,
z12vhhu4ryqnwb4cv22idfwibz2btjlrh04,vasu patel,1 week ago,1462693555729,Iphone 6 is it worth it in 2016? or iphone 6 is going to receive some IOS updates after 2018?,0,true,4,,,,,,
,,,,,,,,z12vhhu4ryqnwb4cv22idfwibz2btjlrh04.1462980410587423,Anand Rao,3 days ago,1463039155973,sure it wil get update for long time:) Get the 6 if u don't like se,0
,,,,,,,,z12vhhu4ryqnwb4cv22idfwibz2btjlrh04.1463036384547162,vasu patel,3 days ago (edited),1463039155973,"+Anand Rao What about iphone 5s because my budget is around 35,000RS.and iphone 5s is available in 25,000Rs. So,Iphone 5s or Iphone 6?",0
,,,,,,,,z12vhhu4ryqnwb4cv22idfwibz2btjlrh04.1463069720115296,Atulya Aman,2 days ago,1463125555974,"+vasu patel 25,000? Its of about 17-18 thousand now.",0
,,,,,,,,z12vhhu4ryqnwb4cv22idfwibz2btjlrh04.1463069783098013,Atulya Aman,2 days ago,1463125555974,And yes go for 6 if you are not getting 6s. I'm myself an 6 user and I have nevee had any issues in 1 year. It is excellent :),0
z12ij3sxhurisxhun22ywfurwqa5ch2g104,teensly IG,2 weeks ago,1462088755730,Getting it tomorrow 👅,0,false,0,,,,,,
z120fls4iqqmsfvoo04cgvnapyrft5nyzks0k,Caleb Gadow,4 weeks ago,1460879155731,So excited. Getting one this week.,0,false,0,,,,,,
z12quv2aptzty1ii204chxqhdp2gvnkxoz00k,Epic Minecrafters,1 month ago,1460706355731,Whose watching on iphone 6,5,false,0,,,,,,
z13cyh2jnxvwdjqfg22bs5vxay2sv5jla,Vesta Kezelyte,1 month ago,1460706355732,So in my country it's very expensive ( 700-800 on sale 500-600 euros) would you recommend me to buy a used one ? Because I'm tired of plastic and ect. phones.,0,true,3,,,,,,
