id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z123jnvqqy30hlqfp22vihrqkmnpxnsmt,TheyCallMeDasiy,1 day ago,1463329044847,PUPPIES ATTACK LOL HAPPENED TO ME WHEN I WAS LITTLE (I love doggies),0,false,0,,,,,,
z13rhtbaeqy5fxboj04chryrqkfezhmygf0,Hayley Attwood,1 day ago,1463329044848,Dying of cuteness,0,false,0,,,,,,
z13ajfeqhuqyvbsak04cif5rkxjli5kxsjk,Diana Cornist,1 day ago,1463329044849,Awesome,0,false,0,,,,,,
z13gvbkojprkffksb23ajbpgbse3e1t5y04,Danelle Garchitorena,2 days ago,1463242644849,SOOO.......CUTE!!!!!!!?,0,false,0,,,,,,
z12miv0gfw2iisxkkziszd1b1kb3w250,ah90292,2 days ago,1463242644850,dang smartphone...,0,false,0,,,,,,
z123ij0raoifv5kqk04cixyzdnbkulu5how0k,Lauranne Washington,4 days ago,1463069844850,puppies are so cute keep up the good work bruh !,0,false,0,,,,,,
z12vdjmilq3iwxew104cgx4isyfhjjcy2mo0k,Brian Rosin,6 days ago,1462897044851,i really need this after playing fnaf,0,false,0,,,,,,
z12uvx5brzbgenatg22yjtoqyrichxg4b04,Beth Neigum,6 days ago,1462897044851,Funny!,0,false,0,,,,,,
z13owbvxysf5tnpwe04cfjwxfz3sizuqiyw0k,Alexandru Magnificul,1 week ago,1462810644852,alololdimino,0,false,0,,,,,,
z12xt1hocwqucdtnx23wx3fy2re0xl4h304,Carlotta Caiafa,1 week ago,1462810644853,02:00 what is this object?,0,false,0,,,,,,
z12aex4i1krfezlfr23ogfej5pnwzrkwd04,Mitch Stone,1 week ago,1462810644854,Honestly who could dislike something like this.,0,false,0,,,,,,
z134vzhazqiyxdfuk22xhnsgvmujylcrs04,supercool gamer,1 week ago,1462810644855,man that is a cool video and funny and cute,0,false,0,,,,,,
z13jip1bpzv2sv3ra04cezwh1uvkev3pcm00k,Ise Bee,1 week ago,1462810644856,Stop saying who is watching in 2016 please not hating just saying,0,false,0,,,,,,
z12ee5yyvubxdlisl22rz3ciqw2qsxe4k04,Ise Bee,1 week ago,1462810644856,WHY WOULD YOU HATE THIS VIDEO IT'S SO CUTE,0,false,0,,,,,,
z13tipyarlmvwtccj23uyzro1p2vflcwg04,Jodi Seto,1 week ago,1462810644857,so cute puppys I think there so cute,0,false,0,,,,,,
z12nxxlhstn2i3u4o04cdb1jbxvhcldoedg,Joanne Garcoon,1 week ago,1462810644858,https://www.gofundme.com/princethepuppy,0,false,0,,,,,,
z13rhlkh3k3vsrazp04cib4i2zyrirhh4ro0k,Peach Papaya,1 week ago,1462810644859,who else came here after witness something terrible,0,false,0,,,,,,
z12qtp2qgub5dbsab04cilujzpuwiz2xnlg0k,MCPE mania Only Mcpe!,1 week ago,1462810644860,Go check out the YouTube channel Cool Cole effects for the cutest puppy in the world ! (Keep in mind that we just started) but hitting that subscribe button would be appreciated: ),0,false,0,,,,,,
z123ftxo5yy4exkp404ce3rp2pq3whfy41c,Caterina Galaczi,1 week ago,1462810644860,That's so cute,0,false,0,,,,,,
z13kf1uzjv2wsvpru04cetkhxvqyjhdopb4,Pony Power,1 week ago,1462810644861,Puppy in een schommel echt zielig🐶😕,0,false,0,,,,,,
z13fgzmxyn2ptfvgs04cj1zolmrriz4h04s,Typical_Me,2 weeks ago,1462205844862,Puppies are so cute when they do funny things 😋,0,false,0,,,,,,
z13lilobou3xdbfjc04cj1zolmrriz4h04s,Typical_Me,2 weeks ago,1462205844863,Haha ha😂😂😂😂😂😂😂😂😂😂🍕😂😂🍕😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,false,0,,,,,,
z12yfn1blkuqebogx04cdb4jvtrqwdkblms0k,Glam _Galaxy,2 weeks ago,1462205844864,CUTEEEEEEEE🐩🐩🐩🐩🐩🐩🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶,0,false,0,,,,,,
z13xfraqoonlyxkhn04chv550oqsdveqwcs,Tavrine Nitram,2 weeks ago,1462205844864,cute,0,false,0,,,,,,
z133hpbjhr2weffjq04cgd2gunrcu1nrf1w,ElsaLps,2 weeks ago,1462205844865,WARNING: I HAS BEEN WITH TEH CUTE PUPIS THOUGHT I MIGHT EXPLOTE OF CUTENESS,0,false,0,,,,,,
z12vffg4evjohzfuq223hl0rqsfoj54vu,Ethan Cave,2 weeks ago,1462205844866,What the name of intro song? Lol,0,false,0,,,,,,
z12zyxz5rumxvpaak04ce3zp5kfyjrwjo34,Chuck Buskee,2 weeks ago,1462205844866,It seems stupid but the curiosity of a puppy can be quite interesting.,0,false,0,,,,,,
z12swbfjfo2iz3cdi22ntj5p2wbsuviyj04,gfxnunez,2 weeks ago,1462205844868,If you have little dogs ----> Instagram #PENTHOUSEPUPS,0,false,0,,,,,,
z12nxzn41kawtvpkj22dc3vjbnm4idiex,america is superiour,3 weeks ago,1461601044868,u should enter them in the doggone funny contest xD,0,false,0,,,,,,
z125cpj5vmv0sb5rj04chh3qupm3vfabdyc0k,kyleadam22 Minecraft Content,3 weeks ago,1461601044869,3:17 - 3:39 is NOT FUNNY! Ii is inappropriate for children to see!,0,true,2,,,,,,
,,,,,,,,z125cpj5vmv0sb5rj04chh3qupm3vfabdyc0k.1461556971315988,kyleadam22 Minecraft Content,3 weeks ago,1461601045134,It,0
,,,,,,,,z125cpj5vmv0sb5rj04chh3qupm3vfabdyc0k.1461879255527770,John,2 weeks ago,1462205845135,Lol,0
z13id3khuzntzttjg04cjv1binetsht5rdg,Aurea Tipton,3 weeks ago,1461601044870,WHY WOULD PEOPLE DISLIKE THIS??,0,true,1,,,,,,
,,,,,,,,z13id3khuzntzttjg04cjv1binetsht5rdg.1461556853694503,kyleadam22 Minecraft Content,3 weeks ago,1461601045531,Because they HATE cute and funny things!,0
z124ux3xozq5ej31a230jnz5byieixz4004,24 samples,3 weeks ago,1461601044871,I tried the laser one... wasted $325.73 on a new window. yah,0,false,0,,,,,,
z13hfdmayyflehnwz04cgrl4fu32c1dzvek,princess baecon forever,3 weeks ago,1461601044872,cute kawaii,0,false,0,,,,,,
z13qffvrdnaizdru523itvejbwzfjney104,ashley miller,3 weeks ago,1461601044872,I love it,0,false,0,,,,,,
z13swl354orkvvsrb04chvbhdwznxhyhfs40k,ashley miller,3 weeks ago,1461601044873,I love it,0,false,0,,,,,,
z12ixbewlpepc1rr204cdd4yutnpsbaa1mk0k,Christine Scott,3 weeks ago,1461601044874,thanks,0,false,0,,,,,,
z13mwbcgttblzlfis04cctsbwsiodpbr32c,Antoine Williams,3 weeks ago,1461601044874,How cute,0,false,0,,,,,,
z133wpkjkonvhzuar04cjtuwbmqfjpoki,4dawnie,3 weeks ago,1461601044875,Let's see what stupid comments the Internet has to other today like people complaining about animal cruelty when this is animals having fun playing and enjoying life to the max...btw this is the comments not the content. Content = awesome,0,false,0,,,,,,
z12kctsztyixizlzz04ce5xa2kbcuzrbye4,Jay Benton,3 weeks ago,1461601044876,lol,0,false,0,,,,,,
z132ghuoqyf0ghuxv04cc3aoovjkcrehfak,eduyugioh,3 weeks ago,1461601044876,"these dogs would taste good with hot sauce, Chinese cooked them so good",0,false,0,,,,,,
z125xv2zevu0iblhn04cers4zk3cixlbbho,raven morrell,3 weeks ago,1461601044877,awesome I love puppies!,0,false,0,,,,,,
z12lfbfa2tn3wrbo504cj5tactrvv5jbw4g,tiffany saprk,3 weeks ago,1461601044878,omg man so funny,0,false,0,,,,,,
z12njdmbbkicddovx23dezuhaki3ihwk1,Navid Nahiyaan,3 weeks ago,1461601044879,the guy at 1:10 is so lucky,0,false,0,,,,,,
z13kztaaukyhtzgmx231v3nw3zymvn1zc04,Banana Gaming,3 weeks ago,1461601044880,XD,0,false,0,,,,,,
z131gpsodubej1v3q231v3nw3zymvn1zc04,Banana Gaming,3 weeks ago,1461601044880,I love the howling dog,0,false,0,,,,,,
z13ix3ew5yqgcpeh504cet44nqbwcvcww0k,Dan Hibiki,3 weeks ago,1461601044881,Puppies > Kittens,0,false,0,,,,,,
z12byhvg1ta3ytwrb04ci3q4upimwff5n50,Dana H,3 weeks ago,1461601044882,2:19.... oh stupid humans.. their spines aren't built like ours... no the dog isn't having fun,0,false,0,,,,,,
z12hg3vbxk3kxbf1m23kxlapfor2utgtc,Dana H,3 weeks ago,1461601044883,well that's dangerous 😶,0,false,0,,,,,,
z13idfoj1rqnvvc3f22ot50x2wnwtbmlx,Mia Guzman,3 weeks ago,1461601044883,That is so cute 🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶,0,false,0,,,,,,
z12ndh5y1tmoun24b04cjh5ovlu3s3s4fy00k,The Enygma,1 month ago,1460823444884,3:07 - lulz its like a pinwheel...a dogwheel,1,false,0,,,,,,
z12ofhiidtv5yrscf22jztrrokjeivgxf04,Teliah Edmonds,1 month ago,1460823447467,So cute and super funny,0,false,0,,,,,,
z130x11h4qezxjwab04chxzyem3esxniykw0k,Emma Rose,1 month ago,1460823447467,3:14 OMG SO CUTE,0,false,0,,,,,,
