id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z12nvd34cnn3svwot04cjbyppo2pyvxjlao,Captain FuzzyPants,17 minutes ago,1462649515208,Tampa is full of rednecks,0,false,0,,,,,,
z12ryxbxswfqs5apc04cch0htuijtxci4vs0k,Akshat Bhatnagar,20 minutes ago,1462649335209,Waiting for the civil war before and after review... Guess this is okay for killing time...,0,false,0,,,,,,
z133wbg5bo35fpf5n04cip44lt2sxneib0c,Random_art,20 minutes ago,1462649335210,Do a Zootopia!!!,0,false,0,,,,,,
z13dg3mqwsamyhrxa04cix0w4xeaczm4ips0k,lookoutforchris,27 minutes ago,1462648915210,Poor trigger discipline in the thumbnail.,0,false,0,,,,,,
z13ujrhaqoadfjwwx04cixtjcuugthjxzr40k,Davonte Rodriguez,34 minutes ago,1462648495212,to nwa movie,0,false,0,,,,,,
z135ynr5ew2ihrkgo04cj154lljcybcb3ws0k,InhumanArtist,34 minutes ago,1462648495212,Can you do the Visit?,0,false,0,,,,,,
z131ehpzho3rsd43123usd1wlkjddvzlt,DrpzOfBlUd787,40 minutes ago,1462648135213,plus one Cinema Sins sin for calling some GM SUV a Jeep.,0,false,0,,,,,,
z13mdplhtpeecji2w23uwtexzquuzj1sp,Ethan Thomas,49 minutes ago,1462647595214,14:41 Why are you sining it then? Isn't this what you've always wanted?,0,false,0,,,,,,
z13fwrlpzya1gfxlq222sfwpipf3h3i2s,EastBay G,1 hour ago,1462650535215,This was a good film.,0,false,0,,,,,,
z12aebrjnxqzdzfll221fvarmzrmxx1jl04,Calbin Hinshaw,1 hour ago,1462650535216,"CinemaSins, please help make YouTube great again by joining GradeA on his mission to stop all the bullshit that's happening on youtube. #MakeYouTubeGreatAgain",0,false,0,,,,,,
z13mgno42wf5sndpa04ccnfhtoafe1qh3po0k,Travel Hog,1 hour ago,1462650535217,You should've sinned them for hanging up the x-rays wrong in the morgue scene in the remake.,0,false,0,,,,,,
z12sc1jycrjrjj14u04cd5gzgkf3evl4ljk,Korede Abdul,1 hour ago,1462650535218,Can you do the new Jungle book?,0,false,0,,,,,,
