id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z13mtlyhnwi1v5mai04cdxrg0tncgtdi4qw0k,Captain Cuddles,1 hour ago,1462558977919,"I can see Krillin being Goku's assistant on the operating table like: Goku: ""Hammer."" Krillin: Hammer. Goku: Saw. Krillin: Saw. Goku : Sponge. Krillin Sponge. Goku: Senzu bean. Krillin: Senzu bean. Krillin: Senzu bean? Goku: Senzu bean. Krillin: Senzu bean!!! The guy comes out with hammer and saw hands with the radio as his new heart. Goku just made a new Android. Meanwhile. you can hear Vegeta screaming in the background.",0,false,0,,,,,,
z13wh1khzw3etjjoh04chf5i5yuifv5okw40k,Son Goku God of destrution,2 hours ago,1462558977920,this made my day,0,false,0,,,,,,
z13ohneronjvh3ah304chrtbpuncxxmqbbs,Eric D.,2 hours ago,1462558977921,I love how Gohan just wants to see how Goku will fail at this!,0,false,0,,,,,,
z13ienopvtz0d3u1b22gxn1xmsnxjbrna,Michael Rose,2 hours ago,1462558977921,Not really digging the Goku's gonna show you...,0,false,0,,,,,,
z12igtqzjl2ehh3il04cdjhyzqeisz3qr4g,keny 19,2 hours ago,1462558977922,the funny thing is that there's actually a doctor goku,0,false,0,,,,,,
z12qsxvx1mjxc33dd23oidcgopmesd25304,Ashley Cross,2 hours ago,1462558977923,"Gohan is kind of a dick, no wonder Goku is never around.",0,true,3,,,,,,
,,,,,,,,z12qsxvx1mjxc33dd23oidcgopmesd25304.1462551542064125,Kyotis Nigel,2 hours ago,1462558978229,"+Ashley Cross No, Gohan is kind of a dick BECAUSE Goku is never around.",0
,,,,,,,,z12qsxvx1mjxc33dd23oidcgopmesd25304.1462552523784304,Ashley Cross,1 hour ago,1462558978230,+Kyotis Nigel And so the cycle continues.,0
,,,,,,,,z12qsxvx1mjxc33dd23oidcgopmesd25304.1462553808308238,Kyotis Nigel,1 hour ago,1462558978231,"+Ashley Cross Plus, with Goku gone all the time, Piccolo has become Gohan's role model. Piccolo. ...PICCOLO!",0
z133yvjgnoqiyrios04cedkz2oemtnz4qvo0k,kevin parmar,2 hours ago,1462558977924,that mafia impression 😂😂👍,0,false,0,,,,,,
z13tydua5qyicdibi04cedkz2oemtnz4qvo0k,kevin parmar,2 hours ago,1462558977925,that mafia impression 😂😂👍,0,false,0,,,,,,
z13zttbxwmqgglacx23uuxcovxqlg3srh04,J0K3R-GaM35,2 hours ago,1462558977927,"""and i want you to be a better father, we cant always get what we want"" OOHH Gohan needs to supply his father Ice, cause goku just got burnt",0,false,0,,,,,,
z13yfttbwsnrijjkl23ii1lzdkz2xr50m,QazaRaspel,3 hours ago,1462558977928,So Goku is a doctor? Somebody better collect the dragonballs for this trainwreck.,0,false,0,,,,,,
z13li3rglsbrizcmd22bft0r2n3huhgbj04,Itwasmedio,3 hours ago,1462558977929,gohan sass levels: super saiyan,0,false,0,,,,,,
z13bxlfoqzmfsbkav04cfr0oqqa2clqhd3o,Lee Langford,3 hours ago,1462558977930,I don't think chi chi drink the orange soda because it wasn't team for star soda,0,false,0,,,,,,
z12etftw1v3cedoab04cfhwbizmodhcg5e4,Robert Bushers,3 hours ago,1462558977930,you guys should do RFL QWOP,0,false,0,,,,,,
z12esfk4avjkxxau223rdftpgymjxveys04,XxExtremeSamX,4 hours ago,1462558977933,2:44 sorry had to do it.... BOOOOOOOOOOOOOOONE SAW IS READY!!!,0,false,0,,,,,,
z12cctmhfon3dt0q104cgdpatxyvgbwyego,Gabby Reed,4 hours ago,1462558977934,"Gohan: And I wish I could have a better father, but we don't always get what we want do we?",0,false,0,,,,,,
z125xr1i5xyhythcd23itrbqgrzjy3yjs04,AfkGamer - Gaming n' Stuff,4 hours ago,1462558977936,"Aw yeah, Surgeon Stimulator!! S-Simulator... Surgeon Simulator...",0,false,0,,,,,,
z13vtpeaqtm2u52b404cjtiplxinuzewfi0,Duke Spubber,4 hours ago,1462558977936,"Blackjack? Steven Strange? Nah, they pale in comparison to DOCTOR GOKU!!",0,false,0,,,,,,
z12zjr5rvrm5e5j0h22xel4wyqffexxmj,TheCrazyFereldan,4 hours ago,1462558977937,"I gotta ask, is Goku British in the DBZA universe? Are Saiyans British? Was planet Vegeta Space Britain?",0,false,0,,,,,,
z12fixfzmsenyxt1q22rfrcgbvn0zpgiu04,Jake Cerra,4 hours ago,1462558977938,"As much as I love this series, I can't watch this one. Much like Goku, I have a phobia of opening up the human body cavity and examining its contents. I liked the beginning with Gohan just being brutal as hell, but the second the bonesaw came out I had to stop. Sorry, MasakoX.",0,false,0,,,,,,
z13dedajwnmaxpymm22esrop4lajsx5s3,Zebefreo :D,4 hours ago,1462558977938,9:16 gygokus,0,false,0,,,,,,
z13szrpbjmy5f3qzg04cjphylx2fhv3wv0c,Riku Nurminen,4 hours ago,1462558977940,"Reads tittle Well, death count just went up.",0,false,0,,,,,,
z13uxniyllbkhvrhv04ccbfaqtbbwhxagy00k,coolguyman16,5 hours ago,1462558977941,Does anyone else think Goku is gonna show you seems a little forced?,1,true,1,,,,,,
,,,,,,,,z13uxniyllbkhvrhv04ccbfaqtbbwhxagy00k.1462541435901818,Volturm,4 hours ago,1462558978477,"+coolguyman16 Moreso than Renegade For Life and Two Sayian's play did. Also noticed something odd, MasakoX seems to be throwing a lot of lisp into Goku's and Gohan's voices which isn't present in DBZA making them sound different and weird. Dunno what's up with that. Unless it's just the cause of him doing the voices for a prolonged time instead of voicing a few lines.",0
z12as1eocrynf1c4304cifhxsme2cfy4px00k,Axel 98,5 hours ago,1462558977941,sturgeon simulator 😂😂😂😂😂,0,false,0,,,,,,
z12bg32opkiayxcrd04celdolnrxyjmqono0k,M.C Knight,5 hours ago,1462558977942,It would be funny if Goku and vegeta played some video games together 😂😂,0,true,1,,,,,,
,,,,,,,,z12bg32opkiayxcrd04celdolnrxyjmqono0k.1462544379030250,vampireemo4ever,4 hours ago,1462558978764,i actually agree. hope we get to see it in the future. Especially with the raging games. and/or put those along with nappa in it. and see what crazy thing they can think of.,0
z13kwtq4fqm3svmr104cjpcw1oyesribsfg,goldhundi,5 hours ago,1462558977943,"Oh god, agreeing with everyone who wants see a Gohan plays. But Goku playing Surgeon Simulator was great!! xD Poor Chichi though...",0,false,0,,,,,,
z12ljdybnmzbxlmd0224jtrguujyx3fz004,‫אור דדון‬‎,6 hours ago,1462558977943,Goku is afraid of needles :C,0,false,0,,,,,,
z121yduhsknzhxvcv23xdxboxsetyb401,ZoanBlade90,6 hours ago,1462558977944,"0:30 Meanwhile, a chill goes down Vegeta's spine, and he doesn't know why...",0,false,0,,,,,,
